"","X.1","X","Tm","Player","Age","G","MP","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.",".","OWS","DWS","WS","WS.48","..1","OBPM","DBPM","BPM","VORP","OWS.48","DWS.48","Shot.","Player.ID","Team.Mar","Team.MP","Team.Gm","Year.3PAr","Team.TS.","Tm.USG","Tm.TS.W.O.Plyr","Reb.Vers","Defense","Val.Shot","Offense","MPG...Int","RAW.SPM","X.Min","RAW.Contrib","Tm.Sum","Tm.Adj","BPM.1","StdErr","Contrib","VORP.1","Reb.Vers.1","Val.Shot.1","Offense.1","Defense.1","MPG","Raw.OBPM","Contrib.1","Tm.Ortg","Tm.Sum.1","Tm.Adj.1","Tm.DRtg","OBPM.1","OStdErr","Ocontrib","OVORP","DBPM.1","DStdErr","Dcontrib","DVORP","Sum.SPM","X.Min.1","MPG.1","ReMPG","BPM.2","Contrib.2","VORP.2","VORP.Gm","O.BPM","Ocontrib.1","OVORP.1","OVORP.Gm","D.BPM","Dcontrib.1","DVORP.1","DVORP.Gm","Production","Prod.Gm","Exp.BPM","TrueTalentBPM","Exp.Min","TrueTalentVORP","TrueSalary","TrueTimeVORP","Adjusted.Production","WORP","O.WORP","D.WORP","Adjusted.WORP","Estimated.Position","BBRef.Pos","Age.on.Feb.1","Yrs.Experience","Height","Weight","Rounded.Position","Rounded.Age","Age_factor","position_factor","MinPG","MinPG_factor","BPM_factor","Dcontri_factor"
"2",2,16285,"HOU","James Harden",25,81,2981,26.7,0.605,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,0,12.2,4.2,16.4,0.265,0,7.4,1,8.4,7.8,0.197,0.068,26.6,"hardeja01",4.01,19804,82,0.268,0.548,337012,0.531,4.39,1.24,0.56,1.78,1.33,8.74,"75.30%",6.58,6.44,-0.33,8.4,2.1,6.3,7.8,1.1,0.6,5.3,0.3,0.7,8.1,6.1,1.4,5.1,-0.7,2.6,7.4,1.4,5.6,6.9,1,1.5,0.8,1,6.4,0.8,36.8,35.1,8.4,6.3,7.8,7.9,7.4,5.6,6.9,6.9,1,0.8,1,1,"$38,000,000 ","$38,400,000 ",2.4,5.7,0.73,5.6,27300000,7.5,"$36,600,000 ",21.2,18.5,2.7,20.4,"1.8","2","25.44","5",77,"220","2","26","Young","SG",36.8024691358025,"Starter","Positive","Positive"
"3",3,16286,"MIN","Andrew Wiggins",19,82,2969,13.9,0.517,0.41,5,9.5,7.2,9.8,1.5,1.3,11.7,22.6,0,2.1,0,2.1,0.034,0,-0.5,-1.8,-2.3,-0.2,0.034,0,20,"wiggian01",-8.52,19787,82,0.268,0.517,341855,0.518,-0.99,-0.3,-0.09,-0.65,1.26,-0.68,"75.00%",-0.51,-2.34,-1.58,-2.3,2.1,-1.7,-0.2,0,0.2,-0.9,0,0.7,-0.1,0,-2.5,-0.8,-0.4,-6.1,-0.5,1.4,-0.4,0.9,-1.8,1.5,-1.3,-1.1,1.3,0.8,36.2,34.5,-2.3,-1.7,-0.2,-0.2,-0.5,-0.4,0.9,0.9,-1.8,-1.3,-1.1,-1.1,"$100,000 ","$100,000 ",0.5,-1,0.36,0.4,2700000,-0.1,"$600,000 ",-0.5,2.4,-3,-0.3,"2.6","2","19.94","0",80,"199","3","20","Rookie","SF",36.2073170731707,"Starter","Negative","Negative"
"4",4,16287,"HOU","Trevor Ariza",29,82,2930,12.7,0.539,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,0,2.7,3.9,6.6,0.108,0,0.6,1.3,1.9,2.9,0.044,0.064,14.4,"arizatr01",4.01,19804,82,0.268,0.548,337012,0.55,-0.99,0.65,0.06,1.37,1.21,2.24,"74.00%",1.66,6.44,-0.33,1.9,2.1,1.4,2.9,-0.7,0.4,0.6,0.4,0.6,1.3,1,1.4,5.1,-0.7,2.6,0.6,1.4,0.5,1.7,1.3,1.5,0.9,1.2,-0.6,0.7,35.7,34.1,1.9,1.4,2.9,2.9,0.6,0.5,1.7,1.7,1.3,0.9,1.2,1.2,"$14,700,000 ","$14,700,000 ",2.2,2.1,0.73,2.9,14900000,2.8,"$14,400,000 ",7.8,4.7,3.2,7.7,"2.9","3","29.59","10",80,"215","3","30","Vet","SF",35.7317073170732,"Starter","Positive","Positive"
"5",5,16288,"POR","Damian Lillard",24,82,2925,20.7,0.56,0.293,1.8,11.8,6.9,29,1.7,0.5,12.6,26.9,0,7.3,3.3,10.6,0.174,0,5,0,5.1,5.2,0.12,0.054,23.5,"lillada01",4.69,19856,82,0.268,0.544,347001,0.54,2.45,-0.48,0.37,0.24,1.2,3.42,"73.70%",2.52,-2.66,1.66,5.1,2.1,3.7,5.2,0.4,0.5,3.1,0.1,0.6,4.8,3.5,2.3,1.5,0.3,2.4,5,1.4,3.7,5,0,1.5,0,0.3,5,0.7,35.7,34,5.1,3.7,5.2,5.2,5,3.7,5,5,0,0,0.3,0.3,"$25,600,000 ","$25,600,000 ",2.3,3.8,0.73,4.2,20900000,5.1,"$25,200,000 ",14.1,13.4,0.7,13.9,"1.2","1","24.55","2",75,"195","1","25","Young","PG",35.6707317073171,"Starter","Positive","Negative"
"6",6,16289,"LAC","Chris Paul",29,82,2857,26,0.596,0.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,0,12.9,3.2,16.1,0.27,0,7.5,0,7.5,6.9,0.216,0.054,20.7,"paulch01",7.21,19730,82,0.268,0.565,348865,0.559,5.71,0.85,0.68,-1.2,1.1,6.46,"72.40%",4.68,3.45,1.04,7.5,2.1,5.4,6.9,1.5,0.6,3.6,0.5,0.6,6.8,5,6.9,5.2,0.6,0.3,7.5,1.4,5.4,6.6,0,1.5,0,0.3,7.4,0.7,34.8,33.2,7.5,5.4,6.9,6.9,7.5,5.4,6.6,6.6,0,0,0.3,0.3,"$33,500,000 ","$33,500,000 ",2.5,5.2,0.73,5.2,25700000,6.9,"$33,500,000 ",18.6,17.9,0.7,18.6,"1","1","29.74","9",72,"175","1","30","Vet","PG",34.8414634146341,"Starter","Positive","Negative"
"7",7,16290,"WAS","John Wall",24,79,2837,19.9,0.523,0.31,1.5,12.8,7.3,46.3,2.5,1.3,18.7,26.1,0,3.6,4.2,7.8,0.132,0,2.4,1.1,3.5,3.9,0.061,0.071,21.2,"walljo01",0.25,19956,82,0.268,0.534,343082,0.537,5.34,0.95,0.52,-4.64,1.22,2.87,"71.10%",2.04,-2.93,0.65,3.5,2.1,2.5,3.9,1.3,0.5,-0.1,0.3,0.6,2.7,1.9,-2.1,-1.1,-0.3,2.3,2.4,1.4,1.7,2.9,1.1,1.5,0.8,1,1.3,0.7,35.9,34.2,3.5,2.5,3.9,4.1,2.4,1.7,2.9,3,1.1,0.8,1,1,"$19,500,000 ","$20,200,000 ",1.7,2.7,0.73,3.4,1.7e+07,4,"$19,900,000 ",10.6,7.9,2.7,10.8,"1","1","24.41","4",76,"195","1","24","Young","PG",35.9113924050633,"Starter","Positive","Positive"
"8",8,16291,"LAC","DeAndre Jordan",26,82,2820,21,0.638,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,0,7.4,5.4,12.8,0.217,0,0.9,3.2,4.1,4.3,0.126,0.091,11.9,"jordade01",7.21,19730,82,0.268,0.565,348865,0.558,-2.79,1.88,-0.08,2.9,1.05,3.04,"71.50%",2.17,3.45,1.04,4.1,2.1,2.9,4.3,0,0.3,-0.3,-0.2,0.5,0.3,0.2,6.9,5.2,0.6,0.3,0.9,1.4,0.6,1.8,3.2,1.5,2.3,2.5,-2.3,0.7,34.4,32.8,4.1,2.9,4.3,4.3,0.9,0.6,1.8,1.8,3.2,2.3,2.5,2.5,"$21,500,000 ","$21,500,000 ",2.4,3.3,0.73,3.9,19200000,4.4,"$21,800,000 ",11.7,5,6.7,11.9,"5","5","26.53","6",83,"265","5","27","Mid","C",34.390243902439,"Starter","Positive","Positive"
"9",9,16292,"PHO","Eric Bledsoe",25,81,2800,18.4,0.555,0.422,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,0,4.1,2.9,7,0.119,0,1.7,0.9,2.6,3.3,0.07,0.049,19.4,"bledser01",-0.37,19879,82,0.268,0.537,342976,0.534,3.03,0.65,0.3,-2.2,1.07,2.55,"70.40%",1.79,-0.79,0.07,2.6,2.1,1.8,3.3,0.7,0.4,0,0.3,0.6,1.9,1.4,-0.5,0.5,-0.2,0.1,1.7,1.4,1.2,2.4,0.9,1.5,0.6,0.8,0.8,0.7,34.6,32.9,2.6,1.8,3.3,3.3,1.7,1.2,2.4,2.4,0.9,0.6,0.8,0.8,"$16,300,000 ","$16,500,000 ",1.4,2,0.73,2.9,14800000,3.3,"$16,800,000 ",8.8,6.5,2.3,9,"1","1","25.15","4",73,"190","1","25","Young","PG",34.5679012345679,"Starter","Positive","Positive"
"10",10,16293,"BRK","Joe Johnson",33,80,2791,14.1,0.523,0.172,2.1,13.3,7.7,17.1,1.1,0.4,11.1,20.3,0,2.6,1.5,4.1,0.07,0,0.9,-0.7,0.2,1.5,0.044,0.026,18,"johnsjo02",-3.31,19928,82,0.268,0.529,347023,0.529,0.32,-1.28,0.08,-0.12,1.1,0.02,"70.00%",0.01,-4.76,0.16,0.2,2.1,0.1,1.5,-0.3,0.3,0.5,-0.1,0.6,1,0.7,-1.3,-1.1,-0.1,-2,0.9,1.4,0.6,1.8,-0.7,1.5,-0.5,-0.3,1.6,0.7,34.9,33.2,0.2,0.1,1.5,1.6,0.9,0.6,1.8,1.9,-0.7,-0.5,-0.3,-0.3,"$8,200,000 ","$8,400,000 ",1,0.6,0.59,1.5,8100000,1.3,"$7,000,000 ",4.1,4.9,-0.8,3.5,"2.8","2","33.59","13",79,"240","3","34","Vet","SF",34.8875,"Starter","Positive","Negative"
"11",11,16294,"CLE","Kyrie Irving",22,75,2730,21.5,0.583,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,0,8.4,2,10.4,0.183,0,4.7,-1.4,3.3,3.7,0.148,0.035,23.1,"irvinky01",4.39,19779,82,0.268,0.557,342773,0.551,1.01,0.21,0.29,0.34,1.27,2.82,"69.00%",1.95,2.75,0.5,3.3,2.1,2.3,3.7,0.3,0.5,2.6,0.2,0.7,4.3,2.9,5.5,4.5,0.4,-1.1,4.7,1.4,3.2,4.4,-1.4,1.5,-0.9,-0.7,6.1,0.7,36.4,34.6,3.3,2.3,3.7,4,4.7,3.2,4.4,4.8,-1.4,-0.9,-0.7,-0.8,"$18,300,000 ","$20,000,000 ",2.4,2.9,0.73,3.5,17700000,3.9,"$19,200,000 ",9.9,11.9,-2,10.4,"1.1","1","22.86","3",75,"193","1","23","Rookie","PG",36.4,"Starter","Positive","Negative"
